example_id,customer_text,context,candidate_intent,gold_intent,gold_reply_quality,gold_escalate,gold_escalation_reason,annotator_notes
golden_0063,Tracking hasn't updated for order 10203 in 5 days.,@SyntheticBrandSupport Tracking hasn't updated for order 10203 in 5 days.,,,,,,
golden_0064,My payment for order 10188 failed but the amount was deducted from my card.,@SyntheticBrandSupport My payment for order 10188 failed but the amount was deducted from my card.,,,,,,
golden_0065,Is there a student discount available?,@SyntheticBrandSupport Is there a student discount available?,,,,,,
golden_0066,"Order 10014 arrived damaged in the box, what should I do?","@SyntheticBrandSupport Order 10014 arrived damaged in the box, what should I do?",,,,,,
golden_0067,"I was charged twice for order 10174, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10174, can you check my payment?",,,,,,
golden_0068,"I was charged twice for order 10021, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10021, can you check my payment?",,,,,,
golden_0069,How do I cancel order 10002 before it ships?,@SyntheticBrandSupport How do I cancel order 10002 before it ships?,,,,,,
golden_0070,Tracking hasn't updated for order 10093 in 5 days.,@SyntheticBrandSupport Tracking hasn't updated for order 10093 in 5 days.,,,,,,
golden_0071,Tracking hasn't updated for order 10245 in 5 days.,@SyntheticBrandSupport Tracking hasn't updated for order 10245 in 5 days.,,,,,,
golden_0072,"Order 10044 shows processing for a week now, any update?","@SyntheticBrandSupport Order 10044 shows processing for a week now, any update?",,,,,,
golden_0073,How do I cancel order 10110 before it ships?,@SyntheticBrandSupport How do I cancel order 10110 before it ships?,,,,,,
golden_0074,How do I cancel order 10208 before it ships?,@SyntheticBrandSupport How do I cancel order 10208 before it ships?,,,,,,
golden_0075,"I want a refund for order 10202, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10202, it arrived damaged.",,,,,,
golden_0076,Tracking hasn't updated for order 10104 in 5 days.,@SyntheticBrandSupport Tracking hasn't updated for order 10104 in 5 days.,,,,,,
golden_0077,My package for order 10053 was marked delivered but I never received it.,@SyntheticBrandSupport My package for order 10053 was marked delivered but I never received it.,,,,,,
golden_0078,"Order 10113 arrived damaged in the box, what should I do?","@SyntheticBrandSupport Order 10113 arrived damaged in the box, what should I do?",,,,,,
golden_0079,Tracking hasn't updated for order 10090 in 5 days.,@SyntheticBrandSupport Tracking hasn't updated for order 10090 in 5 days.,,,,,,
golden_0080,My package for order 10152 was marked delivered but I never received it.,@SyntheticBrandSupport My package for order 10152 was marked delivered but I never received it.,,,,,,
golden_0081,"I was charged twice for order 10165, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10165, can you check my payment?",,,,,,
golden_0082,Payment of $49.99 did not go through but my bank shows it was taken.,@SyntheticBrandSupport Payment of $49.99 did not go through but my bank shows it was taken.,,,,,,
golden_0083,My payment for order 10163 failed but the amount was deducted from my card.,@SyntheticBrandSupport My payment for order 10163 failed but the amount was deducted from my card.,,,,,,
golden_0084,How do I cancel order 10223 before it ships?,@SyntheticBrandSupport How do I cancel order 10223 before it ships?,,,,,,
golden_0085,"I was charged twice for order 10055, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10055, can you check my payment?",,,,,,
golden_0086,"Order 10075 arrived damaged in the box, what should I do?","@SyntheticBrandSupport Order 10075 arrived damaged in the box, what should I do?",,,,,,
golden_0087,Does your product work with international accounts?,@SyntheticBrandSupport Does your product work with international accounts?,,,,,,
golden_0088,My package for order 10138 was marked delivered but I never received it.,@SyntheticBrandSupport My package for order 10138 was marked delivered but I never received it.,,,,,,
golden_0089,How do I cancel order 10249 before it ships?,@SyntheticBrandSupport How do I cancel order 10249 before it ships?,,,,,,
golden_0090,"I was charged twice for order 10067, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10067, can you check my payment?",,,,,,
golden_0091,"Order 10130 arrived damaged in the box, what should I do?","@SyntheticBrandSupport Order 10130 arrived damaged in the box, what should I do?",,,,,,
golden_0092,What's the status of order 10079? It's been a few days.,@SyntheticBrandSupport What's the status of order 10079? It's been a few days.,,,,,,
golden_0093,"Order 10229 arrived damaged in the box, what should I do?","@SyntheticBrandSupport Order 10229 arrived damaged in the box, what should I do?",,,,,,
golden_0094,My package for order 10086 was marked delivered but I never received it.,@SyntheticBrandSupport My package for order 10086 was marked delivered but I never received it.,,,,,,
golden_0095,How do I cancel order 10159 before it ships?,@SyntheticBrandSupport How do I cancel order 10159 before it ships?,,,,,,
golden_0096,"I want a refund for order 10179, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10179, it arrived damaged.",,,,,,
golden_0097,"Order 10102 arrived damaged in the box, what should I do?","@SyntheticBrandSupport Order 10102 arrived damaged in the box, what should I do?",,,,,,
golden_0098,What's the difference between the basic and premium plans?,@SyntheticBrandSupport What's the difference between the basic and premium plans?,,,,,,
golden_0099,What's the status of order 10180? It's been a few days.,@SyntheticBrandSupport What's the status of order 10180? It's been a few days.,,,,,,
golden_0100,Can I get my money back for order 10018? It's not what I expected.,@SyntheticBrandSupport Can I get my money back for order 10018? It's not what I expected.,,,,,,
golden_0101,"I want a refund for order 10098, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10098, it arrived damaged.",,,,,,
golden_0102,My package for order 10033 was marked delivered but I never received it.,@SyntheticBrandSupport My package for order 10033 was marked delivered but I never received it.,,,,,,
golden_0103,How do I cancel order 10028 before it ships?,@SyntheticBrandSupport How do I cancel order 10028 before it ships?,,,,,,
golden_0104,"I was charged twice for order 10046, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10046, can you check my payment?",,,,,,
golden_0105,Can I get my money back for order 10189? It's not what I expected.,@SyntheticBrandSupport Can I get my money back for order 10189? It's not what I expected.,,,,,,
golden_0106,"I was charged twice for order 10210, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10210, can you check my payment?",,,,,,
golden_0107,"I want a refund for order 10128, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10128, it arrived damaged.",,,,,,
golden_0108,"Order 10247 shows processing for a week now, any update?","@SyntheticBrandSupport Order 10247 shows processing for a week now, any update?",,,,,,
golden_0109,Why was I billed $19.99 when my plan should cost less?,@SyntheticBrandSupport Why was I billed $19.99 when my plan should cost less?,,,,,,
golden_0110,"Order 10119 arrived damaged in the box, what should I do?","@SyntheticBrandSupport Order 10119 arrived damaged in the box, what should I do?",,,,,,
golden_0111,Can I get my money back for order 10164? It's not what I expected.,@SyntheticBrandSupport Can I get my money back for order 10164? It's not what I expected.,,,,,,
golden_0112,How do I cancel order 10196 before it ships?,@SyntheticBrandSupport How do I cancel order 10196 before it ships?,,,,,,
golden_0113,What's the status of order 10026? It's been a few days.,@SyntheticBrandSupport What's the status of order 10026? It's been a few days.,,,,,,
golden_0114,Why was I billed $150.0 when my plan should cost less?,@SyntheticBrandSupport Why was I billed $150.0 when my plan should cost less?,,,,,,
golden_0115,Can I get my money back for order 10116? It's not what I expected.,@SyntheticBrandSupport Can I get my money back for order 10116? It's not what I expected.,,,,,,
golden_0116,Can I get my money back for order 10241? It's not what I expected.,@SyntheticBrandSupport Can I get my money back for order 10241? It's not what I expected.,,,,,,
golden_0117,"I was charged twice for order 10012, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10012, can you check my payment?",,,,,,
golden_0118,Payment of $99.0 did not go through but my bank shows it was taken.,@SyntheticBrandSupport Payment of $99.0 did not go through but my bank shows it was taken.,,,,,,
golden_0119,"I want a refund for order 10088, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10088, it arrived damaged.",,,,,,
golden_0120,What's the status of order 10221? It's been a few days.,@SyntheticBrandSupport What's the status of order 10221? It's been a few days.,,,,,,
