tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
35,SyntheticBrandSupport,False,Sat Jan 21 04:53:00 +0000 2023,@customer_0018 We're sorry to hear that! We've started a refund for order 10018; it should reflect in your account within 5-7 business days.,,34
36,customer_0019,True,Sun Jan 22 19:00:00 +0000 2023,"@SyntheticBrandSupport Order 10019 arrived damaged in the box, what should I do?",,
37,customer_0020,True,Tue Jan 24 12:00:00 +0000 2023,"@SyntheticBrandSupport Order 10020 shows processing for a week now, any update?",38,
38,SyntheticBrandSupport,False,Tue Jan 24 12:35:00 +0000 2023,@customer_0020 Thanks for your patience! Order 10020 status can take up to 48 hours to update; we'll follow up if there's any delay.,,37
39,customer_0021,True,Wed Jan 25 17:00:00 +0000 2023,"@SyntheticBrandSupport I was charged twice for order 10021, can you check my payment?",40,
40,SyntheticBrandSupport,False,Wed Jan 25 17:23:00 +0000 2023,@customer_0021 Sorry about that! We can see the duplicate charge for order 10021 and have flagged it for our billing team to reverse within 3-5 business days.,,39
41,customer_0022,True,Thu Jan 26 10:00:00 +0000 2023,"@SyntheticBrandSupport I want a refund for order 10022, it arrived damaged.",42,
42,SyntheticBrandSupport,False,Thu Jan 26 12:56:00 +0000 2023,@customer_0022 Thanks for flagging this - we'll process your refund for order 10022 right away.,,41
43,customer_0023,True,Fri Jan 27 15:00:00 +0000 2023,@SyntheticBrandSupport What's the difference between the basic and premium plans?,44,
44,SyntheticBrandSupport,False,Fri Jan 27 17:53:00 +0000 2023,"@customer_0023 Great question! Yes, our product supports international accounts - happy to share more details if needed.",,43
45,customer_0024,True,Sat Jan 28 21:00:00 +0000 2023,@SyntheticBrandSupport Is there a student discount available?,,
46,customer_0025,True,Sun Jan 29 07:00:00 +0000 2023,@SyntheticBrandSupport The app keeps crashing when I try to check out.,47,
47,SyntheticBrandSupport,False,Sun Jan 29 07:40:00 +0000 2023,@customer_0025 We're aware some users are seeing this error and our team is investigating - thanks for your patience.,,46
48,customer_0026,True,Mon Jan 30 14:00:00 +0000 2023,@SyntheticBrandSupport What's the status of order 10026? It's been a few days.,49,
49,SyntheticBrandSupport,False,Mon Jan 30 14:28:00 +0000 2023,@customer_0026 Let us check on order 10026 for you - please DM your order confirmation email so we can look into the current status.,,48
50,customer_0027,True,Wed Feb 01 15:00:00 +0000 2023,"@SyntheticBrandSupport Locked out of my account after resetting my password, please help.",51,
51,SyntheticBrandSupport,False,Wed Feb 01 18:56:00 +0000 2023,@customer_0027 We can help with account access - please send your registered email via DM so we can look into the 2FA issue.,,50
52,customer_0028,True,Thu Feb 02 14:00:00 +0000 2023,@SyntheticBrandSupport How do I cancel order 10028 before it ships?,53,
53,SyntheticBrandSupport,False,Thu Feb 02 14:44:00 +0000 2023,@customer_0028 We can help cancel order 10028 if it hasn't shipped yet - please DM your order email to confirm.,,52
54,customer_0029,True,Fri Feb 03 23:00:00 +0000 2023,@SyntheticBrandSupport My payment for order 10029 failed but the amount was deducted from my card.,55,
55,SyntheticBrandSupport,False,Fri Feb 03 23:17:00 +0000 2023,@customer_0029 Sorry about that! We can see the duplicate charge for order 10029 and have flagged it for our billing team to reverse within 3-5 business days.,,54
56,customer_0030,True,Sat Feb 04 16:00:00 +0000 2023,"@SyntheticBrandSupport I can't log into my account, it keeps saying wrong password.",57,
57,SyntheticBrandSupport,False,Sat Feb 04 18:37:00 +0000 2023,"@customer_0030 So sorry for the trouble logging in! Please try the password reset link at our help center; if that fails, DM your registered email and we'll assist.",,56
58,customer_0031,True,Sun Feb 05 18:00:00 +0000 2023,"@SyntheticBrandSupport Please cancel my subscription, I no longer need it.",59,
59,SyntheticBrandSupport,False,Sun Feb 05 20:43:00 +0000 2023,@customer_0031 We're sorry to see you go! We've submitted the cancellation request - you'll get a confirmation email shortly.,,58
60,customer_0032,True,Mon Feb 06 06:00:00 +0000 2023,@SyntheticBrandSupport The search feature on the site is completely broken for me.,61,
61,SyntheticBrandSupport,False,Mon Feb 06 07:12:00 +0000 2023,@customer_0032 Sorry for the disruption! Could you tell us your device/app version via DM so our tech team can investigate the crash?,,60
62,customer_0033,True,Wed Feb 08 10:00:00 +0000 2023,@SyntheticBrandSupport My package for order 10033 was marked delivered but I never received it.,63,
63,SyntheticBrandSupport,False,Wed Feb 08 10:23:00 +0000 2023,@customer_0033 We're sorry to hear that! Please DM us order 10033 and we'll open an investigation with the carrier right away.,,62
64,customer_0034,True,Thu Feb 09 02:00:00 +0000 2023,"@SyntheticBrandSupport I can't log into my account, it keeps saying wrong password.",65,
65,SyntheticBrandSupport,False,Thu Feb 09 03:57:00 +0000 2023,"@customer_0034 So sorry for the trouble logging in! Please try the password reset link at our help center; if that fails, DM your registered email and we'll assist.",,64
66,customer_0035,True,Fri Feb 10 09:00:00 +0000 2023,@SyntheticBrandSupport My payment for order 10035 failed but the amount was deducted from my card.,,
67,customer_0036,True,Sat Feb 11 04:00:00 +0000 2023,"@SyntheticBrandSupport Please refund my subscription, I was charged after I cancelled.",68,
68,SyntheticBrandSupport,False,Sat Feb 11 07:08:00 +0000 2023,@customer_0036 We're sorry to hear that! We've started a refund for order 10036; it should reflect in your account within 5-7 business days.,,67
69,customer_0037,True,Sun Feb 12 15:00:00 +0000 2023,"@SyntheticBrandSupport Order 10037 arrived damaged in the box, what should I do?",,
70,customer_0038,True,Mon Feb 13 01:00:00 +0000 2023,"@SyntheticBrandSupport Please cancel my subscription, I no longer need it.",71,
71,SyntheticBrandSupport,False,Mon Feb 13 03:48:00 +0000 2023,@customer_0038 We're sorry to see you go! We've submitted the cancellation request - you'll get a confirmation email shortly.,,70
72,customer_0039,True,Tue Feb 14 22:00:00 +0000 2023,@SyntheticBrandSupport What's the difference between the basic and premium plans?,73,
73,SyntheticBrandSupport,False,Tue Feb 14 22:24:00 +0000 2023,"@customer_0039 Great question! Yes, our product supports international accounts - happy to share more details if needed.",,72
74,customer_0040,True,Thu Feb 16 01:00:00 +0000 2023,"@SyntheticBrandSupport Locked out of my account after resetting my password, please help.",75,
75,SyntheticBrandSupport,False,Thu Feb 16 02:55:00 +0000 2023,"@customer_0040 So sorry for the trouble logging in! Please try the password reset link at our help center; if that fails, DM your registered email and we'll assist.",,74
76,customer_0041,True,Fri Feb 17 06:00:00 +0000 2023,"@SyntheticBrandSupport I was charged twice for order 10041, can you check my payment?",77,
77,SyntheticBrandSupport,False,Fri Feb 17 09:24:00 +0000 2023,@customer_0041 We understand the frustration. Please DM us your order 10041 and email on file so we can verify the payment and correct the charge.,,76
78,customer_0042,True,Sat Feb 18 05:00:00 +0000 2023,"@SyntheticBrandSupport I can't log into my account, it keeps saying wrong password.",79,
79,SyntheticBrandSupport,False,Sat Feb 18 05:50:00 +0000 2023,"@customer_0042 So sorry for the trouble logging in! Please try the password reset link at our help center; if that fails, DM your registered email and we'll assist.",,78
80,customer_0043,True,Sun Feb 19 08:00:00 +0000 2023,"@SyntheticBrandSupport Please cancel my subscription, I no longer need it.",81,
81,SyntheticBrandSupport,False,Sun Feb 19 09:42:00 +0000 2023,@customer_0043 We're sorry to see you go! We've submitted the cancellation request - you'll get a confirmation email shortly.,,80
82,customer_0044,True,Mon Feb 20 14:00:00 +0000 2023,"@SyntheticBrandSupport Order 10044 shows processing for a week now, any update?",83,
83,SyntheticBrandSupport,False,Mon Feb 20 15:02:00 +0000 2023,@customer_0044 Let us check on order 10044 for you - please DM your order confirmation email so we can look into the current status.,,82
84,customer_0045,True,Tue Feb 21 02:00:00 +0000 2023,@SyntheticBrandSupport Getting error code 502 every time I open the dashboard.,85,
85,SyntheticBrandSupport,False,Tue Feb 21 04:58:00 +0000 2023,@customer_0045 We're aware some users are seeing this error and our team is investigating - thanks for your patience.,,84
86,customer_0046,True,Thu Feb 23 08:00:00 +0000 2023,"@SyntheticBrandSupport I was charged twice for order 10046, can you check my payment?",87,
87,SyntheticBrandSupport,False,Thu Feb 23 08:14:00 +0000 2023,@customer_0046 We understand the frustration. Please DM us your order 10046 and email on file so we can verify the payment and correct the charge.,,86
88,customer_0047,True,Fri Feb 24 19:00:00 +0000 2023,@SyntheticBrandSupport The search feature on the site is completely broken for me.,89,
89,SyntheticBrandSupport,False,Fri Feb 24 20:10:00 +0000 2023,@customer_0047 Sorry for the disruption! Could you tell us your device/app version via DM so our tech team can investigate the crash?,,88
90,customer_0048,True,Sat Feb 25 13:00:00 +0000 2023,@SyntheticBrandSupport What's the status of order 10048? It's been a few days.,,
91,customer_0049,True,Sun Feb 26 16:00:00 +0000 2023,"@SyntheticBrandSupport Please refund my subscription, I was charged after I cancelled.",92,
92,SyntheticBrandSupport,False,Sun Feb 26 17:48:00 +0000 2023,@customer_0049 Thanks for flagging this - we'll process your refund for order 10049 right away.,,91
93,customer_0050,True,Mon Feb 27 21:00:00 +0000 2023,"@SyntheticBrandSupport Order 10050 shows processing for a week now, any update?",94,
94,SyntheticBrandSupport,False,Mon Feb 27 23:42:00 +0000 2023,@customer_0050 Let us check on order 10050 for you - please DM your order confirmation email so we can look into the current status.,,93
95,customer_0051,True,Tue Feb 28 09:00:00 +0000 2023,"@SyntheticBrandSupport I was charged twice for order 10051, can you check my payment?",96,
96,SyntheticBrandSupport,False,Tue Feb 28 11:04:00 +0000 2023,@customer_0051 We understand the frustration. Please DM us your order 10051 and email on file so we can verify the payment and correct the charge.,,95
97,customer_0052,True,Wed Mar 01 21:00:00 +0000 2023,@SyntheticBrandSupport Does your product work with international accounts?,98,
98,SyntheticBrandSupport,False,Wed Mar 01 21:28:00 +0000 2023,@customer_0052 Premium includes priority support and extra features over Basic - check our pricing page for the full comparison!,,97
99,customer_0053,True,Fri Mar 03 06:00:00 +0000 2023,@SyntheticBrandSupport My package for order 10053 was marked delivered but I never received it.,100,
100,SyntheticBrandSupport,False,Fri Mar 03 08:06:00 +0000 2023,@customer_0053 We're sorry to hear that! Please DM us order 10053 and we'll open an investigation with the carrier right away.,,99
101,customer_0054,True,Sat Mar 04 20:00:00 +0000 2023,@SyntheticBrandSupport Is there a student discount available?,102,
102,SyntheticBrandSupport,False,Sat Mar 04 22:11:00 +0000 2023,@customer_0054 Premium includes priority support and extra features over Basic - check our pricing page for the full comparison!,,101
103,customer_0055,True,Sun Mar 05 13:00:00 +0000 2023,"@SyntheticBrandSupport I was charged twice for order 10055, can you check my payment?",104,
104,SyntheticBrandSupport,False,Sun Mar 05 13:17:00 +0000 2023,@customer_0055 We understand the frustration. Please DM us your order 10055 and email on file so we can verify the payment and correct the charge.,,103
105,customer_0056,True,Mon Mar 06 04:00:00 +0000 2023,"@SyntheticBrandSupport Please refund my subscription, I was charged after I cancelled.",106,
106,SyntheticBrandSupport,False,Mon Mar 06 07:18:00 +0000 2023,@customer_0056 Thanks for flagging this - we'll process your refund for order 10056 right away.,,105
107,customer_0057,True,Tue Mar 07 14:00:00 +0000 2023,"@SyntheticBrandSupport Please cancel my subscription, I no longer need it.",108,
108,SyntheticBrandSupport,False,Tue Mar 07 16:00:00 +0000 2023,@customer_0057 We can help cancel order 10057 if it hasn't shipped yet - please DM your order email to confirm.,,107
109,customer_0058,True,Wed Mar 08 15:00:00 +0000 2023,@SyntheticBrandSupport Tracking hasn't updated for order 10058 in 5 days.,110,
110,SyntheticBrandSupport,False,Wed Mar 08 15:24:00 +0000 2023,@customer_0058 That's not the experience we want for you - we'll arrange a replacement for order 10058 once you confirm your shipping address via DM.,,109
111,customer_0059,True,Fri Mar 10 17:00:00 +0000 2023,@SyntheticBrandSupport The app keeps crashing when I try to check out.,112,
112,SyntheticBrandSupport,False,Fri Mar 10 18:43:00 +0000 2023,@customer_0059 Sorry for the disruption! Could you tell us your device/app version via DM so our tech team can investigate the crash?,,111
113,customer_0060,True,Sat Mar 11 13:00:00 +0000 2023,"@SyntheticBrandSupport Please refund my subscription, I was charged after I cancelled.",114,
114,SyntheticBrandSupport,False,Sat Mar 11 13:20:00 +0000 2023,@customer_0060 Thanks for flagging this - we'll process your refund for order 10060 right away.,,113
115,customer_0061,True,Sun Mar 12 12:00:00 +0000 2023,@SyntheticBrandSupport Why was I billed $150.0 when my plan should cost less?,116,
116,SyntheticBrandSupport,False,Sun Mar 12 13:21:00 +0000 2023,@customer_0061 We understand the frustration. Please DM us your order 10061 and email on file so we can verify the payment and correct the charge.,,115
117,customer_0062,True,Mon Mar 13 23:00:00 +0000 2023,"@SyntheticBrandSupport Please cancel my subscription, I no longer need it.",118,
118,SyntheticBrandSupport,False,Tue Mar 14 00:56:00 +0000 2023,@customer_0062 We can help cancel order 10062 if it hasn't shipped yet - please DM your order email to confirm.,,117
119,customer_0063,True,Tue Mar 14 14:00:00 +0000 2023,"@SyntheticBrandSupport Please cancel my subscription, I no longer need it.",,
120,customer_0064,True,Wed Mar 15 20:00:00 +0000 2023,@SyntheticBrandSupport Why was I billed $9.99 when my plan should cost less?,121,
121,SyntheticBrandSupport,False,Wed Mar 15 20:51:00 +0000 2023,@customer_0064 We understand the frustration. Please DM us your order 10064 and email on file so we can verify the payment and correct the charge.,,120
122,customer_0065,True,Fri Mar 17 10:00:00 +0000 2023,"@SyntheticBrandSupport Order 10065 shows processing for a week now, any update?",123,
123,SyntheticBrandSupport,False,Fri Mar 17 11:16:00 +0000 2023,@customer_0065 Thanks for your patience! Order 10065 status can take up to 48 hours to update; we'll follow up if there's any delay.,,122
124,customer_0066,True,Sat Mar 18 15:00:00 +0000 2023,@SyntheticBrandSupport My package for order 10066 was marked delivered but I never received it.,125,
125,SyntheticBrandSupport,False,Sat Mar 18 16:34:00 +0000 2023,@customer_0066 We're sorry to hear that! Please DM us order 10066 and we'll open an investigation with the carrier right away.,,124
126,customer_0067,True,Sun Mar 19 07:00:00 +0000 2023,"@SyntheticBrandSupport I was charged twice for order 10067, can you check my payment?",127,
127,SyntheticBrandSupport,False,Sun Mar 19 08:06:00 +0000 2023,@customer_0067 Sorry about that! We can see the duplicate charge for order 10067 and have flagged it for our billing team to reverse within 3-5 business days.,,126
128,customer_0068,True,Mon Mar 20 22:00:00 +0000 2023,"@SyntheticBrandSupport Order 10068 shows processing for a week now, any update?",129,
129,SyntheticBrandSupport,False,Tue Mar 21 00:40:00 +0000 2023,@customer_0068 Let us check on order 10068 for you - please DM your order confirmation email so we can look into the current status.,,128
130,customer_0069,True,Tue Mar 21 09:00:00 +0000 2023,"@SyntheticBrandSupport I want a refund for order 10069, it arrived damaged.",131,
131,SyntheticBrandSupport,False,Tue Mar 21 11:32:00 +0000 2023,@customer_0069 Thanks for flagging this - we'll process your refund for order 10069 right away.,,130
132,customer_0070,True,Wed Mar 22 02:00:00 +0000 2023,"@SyntheticBrandSupport Please cancel my subscription, I no longer need it.",133,
133,SyntheticBrandSupport,False,Wed Mar 22 05:42:00 +0000 2023,@customer_0070 We can help cancel order 10070 if it hasn't shipped yet - please DM your order email to confirm.,,132
134,customer_0071,True,Thu Mar 23 17:00:00 +0000 2023,@SyntheticBrandSupport Why was I billed $49.99 when my plan should cost less?,135,
135,SyntheticBrandSupport,False,Thu Mar 23 19:14:00 +0000 2023,@customer_0071 Sorry about that! We can see the duplicate charge for order 10071 and have flagged it for our billing team to reverse within 3-5 business days.,,134
136,customer_0072,True,Sat Mar 25 15:00:00 +0000 2023,"@SyntheticBrandSupport just saying hi, love your product!",,
137,customer_0073,True,Sun Mar 26 13:00:00 +0000 2023,@SyntheticBrandSupport Does your product work with international accounts?,138,
138,SyntheticBrandSupport,False,Sun Mar 26 15:42:00 +0000 2023,@customer_0073 Premium includes priority support and extra features over Basic - check our pricing page for the full comparison!,,137
139,customer_0074,True,Mon Mar 27 13:00:00 +0000 2023,@SyntheticBrandSupport Is there a student discount available?,140,
140,SyntheticBrandSupport,False,Mon Mar 27 16:43:00 +0000 2023,@customer_0074 Premium includes priority support and extra features over Basic - check our pricing page for the full comparison!,,139
141,customer_0075,True,Tue Mar 28 07:00:00 +0000 2023,"@SyntheticBrandSupport Order 10075 arrived damaged in the box, what should I do?",142,
142,SyntheticBrandSupport,False,Tue Mar 28 08:31:00 +0000 2023,@customer_0075 That's not the experience we want for you - we'll arrange a replacement for order 10075 once you confirm your shipping address via DM.,,141
143,customer_0076,True,Wed Mar 29 06:00:00 +0000 2023,"@SyntheticBrandSupport Locked out of my account after resetting my password, please help.",144,
144,SyntheticBrandSupport,False,Wed Mar 29 07:16:00 +0000 2023,@customer_0076 We can help with account access - please send your registered email via DM so we can look into the 2FA issue.,,143
145,customer_0077,True,Thu Mar 30 00:00:00 +0000 2023,@SyntheticBrandSupport Tracking hasn't updated for order 10077 in 5 days.,,
146,customer_0078,True,Fri Mar 31 07:00:00 +0000 2023,@SyntheticBrandSupport Is there a student discount available?,147,
147,SyntheticBrandSupport,False,Fri Mar 31 08:59:00 +0000 2023,@customer_0078 Premium includes priority support and extra features over Basic - check our pricing page for the full comparison!,,146
148,customer_0079,True,Sun Apr 02 22:00:00 +0000 2023,@SyntheticBrandSupport What's the status of order 10079? It's been a few days.,149,
149,SyntheticBrandSupport,False,Mon Apr 03 00:06:00 +0000 2023,@customer_0079 Thanks for your patience! Order 10079 status can take up to 48 hours to update; we'll follow up if there's any delay.,,148
150,customer_0080,True,Mon Apr 03 22:00:00 +0000 2023,@SyntheticBrandSupport Getting error code 502 every time I open the dashboard.,151,
151,SyntheticBrandSupport,False,Mon Apr 03 23:04:00 +0000 2023,@customer_0080 We're aware some users are seeing this error and our team is investigating - thanks for your patience.,,150
152,customer_0081,True,Tue Apr 04 22:00:00 +0000 2023,"@SyntheticBrandSupport I want a refund for order 10081, it arrived damaged.",153,
153,SyntheticBrandSupport,False,Tue Apr 04 23:15:00 +0000 2023,@customer_0081 Thanks for flagging this - we'll process your refund for order 10081 right away.,,152
154,customer_0082,True,Wed Apr 05 06:00:00 +0000 2023,"@SyntheticBrandSupport Order 10082 arrived damaged in the box, what should I do?",155,
155,SyntheticBrandSupport,False,Wed Apr 05 07:22:00 +0000 2023,@customer_0082 We're sorry to hear that! Please DM us order 10082 and we'll open an investigation with the carrier right away.,,"154,999999"
156,customer_0083,True,Thu Apr 06 01:00:00 +0000 2023,@SyntheticBrandSupport Tracking hasn't updated for order 10083 in 5 days.,157,
157,SyntheticBrandSupport,False,Thu Apr 06 03:48:00 +0000 2023,@customer_0083 We're sorry to hear that! Please DM us order 10083 and we'll open an investigation with the carrier right away.,,156
158,customer_0084,True,Fri Apr 07 09:00:00 +0000 2023,@SyntheticBrandSupport Why was I billed $150.0 when my plan should cost less?,159,
159,SyntheticBrandSupport,False,Fri Apr 07 09:52:00 +0000 2023,@customer_0084 We understand the frustration. Please DM us your order 10084 and email on file so we can verify the payment and correct the charge.,,158
160,customer_0085,True,Sun Apr 09 02:00:00 +0000 2023,@SyntheticBrandSupport What's the difference between the basic and premium plans?,161,
161,SyntheticBrandSupport,False,Sun Apr 09 02:43:00 +0000 2023,"@customer_0085 Great question! Yes, our product supports international accounts - happy to share more details if needed.",,160
162,customer_0086,True,Mon Apr 10 07:00:00 +0000 2023,@SyntheticBrandSupport My package for order 10086 was marked delivered but I never received it.,163,
163,SyntheticBrandSupport,False,Mon Apr 10 09:40:00 +0000 2023,@customer_0086 That's not the experience we want for you - we'll arrange a replacement for order 10086 once you confirm your shipping address via DM.,,162
164,customer_0087,True,Tue Apr 11 14:00:00 +0000 2023,@SyntheticBrandSupport How do I cancel order 10087 before it ships?,165,
165,SyntheticBrandSupport,False,Tue Apr 11 15:23:00 +0000 2023,@customer_0087 We can help cancel order 10087 if it hasn't shipped yet - please DM your order email to confirm.,,164
166,customer_0088,True,Wed Apr 12 20:00:00 +0000 2023,"@SyntheticBrandSupport I want a refund for order 10088, it arrived damaged.",167,
167,SyntheticBrandSupport,False,Wed Apr 12 20:45:00 +0000 2023,@customer_0088 We're sorry to hear that! We've started a refund for order 10088; it should reflect in your account within 5-7 business days.,,166
168,customer_0089,True,Thu Apr 13 13:00:00 +0000 2023,"@SyntheticBrandSupport Locked out of my account after resetting my password, please help.",169,
169,SyntheticBrandSupport,False,Thu Apr 13 14:19:00 +0000 2023,@customer_0089 We can help with account access - please send your registered email via DM so we can look into the 2FA issue.,,168
170,customer_0090,True,Fri Apr 14 02:00:00 +0000 2023,@SyntheticBrandSupport Tracking hasn't updated for order 10090 in 5 days.,171,
171,SyntheticBrandSupport,False,Fri Apr 14 05:26:00 +0000 2023,@customer_0090 That's not the experience we want for you - we'll arrange a replacement for order 10090 once you confirm your shipping address via DM.,,170
172,customer_0091,True,Sat Apr 15 03:00:00 +0000 2023,@SyntheticBrandSupport What's the status of order 10091? It's been a few days.,173,
173,SyntheticBrandSupport,False,Sat Apr 15 06:36:00 +0000 2023,@customer_0091 Thanks for your patience! Order 10091 status can take up to 48 hours to update; we'll follow up if there's any delay.,,172
174,customer_0092,True,Mon Apr 17 23:00:00 +0000 2023,@SyntheticBrandSupport Tracking hasn't updated for order 10092 in 5 days.,,
175,customer_0093,True,Tue Apr 18 08:00:00 +0000 2023,@SyntheticBrandSupport Tracking hasn't updated for order 10093 in 5 days.,176,
176,SyntheticBrandSupport,False,Tue Apr 18 08:25:00 +0000 2023,@customer_0093 That's not the experience we want for you - we'll arrange a replacement for order 10093 once you confirm your shipping address via DM.,,175
177,customer_0094,True,Wed Apr 19 08:00:00 +0000 2023,@SyntheticBrandSupport The app keeps crashing when I try to check out.,178,
178,SyntheticBrandSupport,False,Wed Apr 19 11:20:00 +0000 2023,@customer_0094 Sorry for the disruption! Could you tell us your device/app version via DM so our tech team can investigate the crash?,,177
179,customer_0095,True,Thu Apr 20 15:00:00 +0000 2023,@SyntheticBrandSupport Why was I billed $19.99 when my plan should cost less?,,
180,customer_0096,True,Fri Apr 21 15:00:00 +0000 2023,@SyntheticBrandSupport What's the difference between the basic and premium plans?,181,
181,SyntheticBrandSupport,False,Fri Apr 21 17:56:00 +0000 2023,@customer_0096 Premium includes priority support and extra features over Basic - check our pricing page for the full comparison!,,180
182,customer_0097,True,Sat Apr 22 09:00:00 +0000 2023,@SyntheticBrandSupport How do I cancel order 10097 before it ships?,183,
183,SyntheticBrandSupport,False,Sat Apr 22 11:01:00 +0000 2023,@customer_0097 We're sorry to see you go! We've submitted the cancellation request - you'll get a confirmation email shortly.,,182
184,customer_0098,True,Mon Apr 24 16:00:00 +0000 2023,"@SyntheticBrandSupport I want a refund for order 10098, it arrived damaged.",185,
185,SyntheticBrandSupport,False,Mon Apr 24 17:50:00 +0000 2023,@customer_0098 Thanks for flagging this - we'll process your refund for order 10098 right away.,,184
186,customer_0099,True,Tue Apr 25 01:00:00 +0000 2023,@SyntheticBrandSupport Does your product work with international accounts?,187,
